Temperature,Humidity,Moisture,Soil Type,Crop Type,Nitrogen,Potassium,Phosphorous,Fertilizer Name
26.0,52.0,38.0,Đất cát,Cây bắp,37,0,0,Urea
29.0,52.0,45.0,Đất mùn,Cây mía,12,0,36,DAP
34.0,65.0,62.0,Đất thịt tơi xốp,Cây bông,7,9,30,14-35-14
32.0,62.0,34.0,Đất đỏ bazan,Cây chè,22,0,20,28-28
28.0,54.0,46.0,Đất sét,Cây lúa,35,0,0,Urea
26.0,52.0,35.0,Đất cát,Cây đậu phộng (Lạc),12,10,13,17-17-17
25.0,50.0,64.0,Đất đỏ bazan,Cây bông,9,0,10,20-20
33.0,64.0,50.0,Đất mùn,Cây chuối,41,0,0,Urea
30.0,60.0,42.0,Đất cát,Millets,21,0,18,28-28
29.0,58.0,33.0,Đất thịt tơi xốp,Các loại hạt (hạt mè, hạt  cải),9,7,30,14-35-14
27.0,54.0,28.0,Đất sét,Các loại đậu,13,0,40,DAP
31.0,62.0,48.0,Đất cát,Cây bắp,14,15,12,17-17-17
25.0,50.0,65.0,Đất mùn,Cây bông,36,0,0,Urea
32.0,62.0,41.0,Đất sét,Cây lúa,24,0,22,28-28
26.0,52.0,31.0,Đất đỏ bazan,Khoai tây,14,0,41,DAP
31.0,62.0,49.0,Đất thịt tơi xốp,Cây mía,10,13,14,17-17-17
33.0,64.0,34.0,Đất sét,Các loại đậu,38,0,0,Urea
25.0,50.0,39.0,Đất cát,Cây đậu phộng (Lạc),21,0,19,28-28
28.0,54.0,65.0,Đất thịt tơi xốp,Cây bông,39,0,0,Urea
29.0,58.0,52.0,Đất mùn,Cây chuối,13,0,36,DAP
30.0,60.0,44.0,Đất cát,Millets,10,0,9,20-20
34.0,65.0,53.0,Đất mùn,Cây mía,12,14,12,17-17-17
35.0,68.0,33.0,Đất đỏ bazan,Cây chè,11,0,37,DAP
28.0,54.0,37.0,Đất thịt tơi xốp,Millets,36,0,0,Urea
33.0,64.0,39.0,Đất sét,Cây lúa,13,0,10,20-20
26.0,52.0,44.0,Đất cát,Cây bắp,23,0,20,28-28
30.0,60.0,63.0,Đất đỏ bazan,Cây bông,9,9,29,14-35-14
32.0,62.0,30.0,Đất mùn,Cây mía,38,0,0,Urea
37.0,70.0,32.0,Đất thịt tơi xốp,Các loại hạt (hạt mè, hạt  cải),12,0,39,DAP
26.0,52.0,36.0,Đất sét,Các loại đậu,14,0,13,20-20
29.0,58.0,40.0,Đất đỏ bazan,Khoai tây,24,0,23,28-28
30.0,60.0,27.0,Đất mùn,Cây mía,12,0,40,DAP
34.0,65.0,38.0,Đất sét,Cây lúa,39,0,0,Urea
36.0,68.0,38.0,Đất cát,Cây đậu phộng (Lạc),7,9,30,14-35-14
26.0,52.0,48.0,Đất mùn,Cây chuối,23,0,19,28-28
28.0,54.0,35.0,Đất thịt tơi xốp,Millets,41,0,0,Urea
30.0,60.0,61.0,Đất mùn,Cây bông,8,10,31,14-35-14
37.0,70.0,37.0,Đất sét,Cây lúa,12,0,41,DAP
25.0,50.0,26.0,Đất đỏ bazan,Khoai tây,15,14,11,17-17-17
29.0,58.0,34.0,Đất cát,Millets,15,0,37,DAP
27.0,54.0,30.0,Đất sét,Các loại đậu,13,0,13,20-20
30.0,60.0,58.0,Đất mùn,Cây mía,10,7,32,14-35-14
32.0,62.0,34.0,Đất đỏ bazan,Cây chè,22,0,24,28-28
34.0,65.0,60.0,Đất thịt tơi xốp,Cây mía,35,0,0,Urea
35.0,67.0,42.0,Đất cát,Cây đậu phộng (Lạc),10,0,35,DAP
38.0,70.0,48.0,Đất mùn,Cây chuối,8,8,28,14-35-14
26.0,52.0,32.0,Đất thịt tơi xốp,Các loại hạt (hạt mè, hạt  cải),12,0,8,20-20
29.0,58.0,43.0,Đất sét,Cây lúa,24,0,18,28-28
